slide_id,conch_feature,label
C3L-00893-25,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3L-00893-25.h5,CPTAC-LUAD
C3L-02365-22,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3L-02365-22.h5,CPTAC-LUAD
C3L-04757-23,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3L-04757-23.h5,CPTAC-LUAD
C3L-02834-22,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3L-02834-22.h5,CPTAC-LUAD
C3N-00552-26,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3N-00552-26.h5,CPTAC-LUAD
C3L-00913-21,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3L-00913-21.h5,CPTAC-LUAD
C3N-02144-24,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3N-02144-24.h5,CPTAC-LUAD
C3N-04616-26,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3N-04616-26.h5,CPTAC-LUAD
C3N-02089-23,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3N-02089-23.h5,CPTAC-LUAD
C3N-03073-23,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3N-03073-23.h5,CPTAC-LUAD
C3L-03262-25,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3L-03262-25.h5,CPTAC-LUAD
C3N-00559-26,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3N-00559-26.h5,CPTAC-LUAD
C3N-02155-26,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3N-02155-26.h5,CPTAC-LUAD
C3N-00737-26,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3N-00737-26.h5,CPTAC-LUAD
C3L-00973-27,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3L-00973-27.h5,CPTAC-LUAD
C3N-00738-24,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3N-00738-24.h5,CPTAC-LUAD
C3L-03721-22,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3L-03721-22.h5,CPTAC-LUAD
C3L-00422-25,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3L-00422-25.h5,CPTAC-LUAD
C3N-02192-26,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3N-02192-26.h5,CPTAC-LUAD
C3N-00550-21,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3N-00550-21.h5,CPTAC-LUAD
C3L-04744-23,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3L-04744-23.h5,CPTAC-LUAD
C3N-02920-24,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3N-02920-24.h5,CPTAC-LUAD
C3N-03890-21,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3N-03890-21.h5,CPTAC-LUAD
C3N-02145-27,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3N-02145-27.h5,CPTAC-LUAD
C3L-00263-28,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3L-00263-28.h5,CPTAC-LUAD
C3N-04157-21,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3N-04157-21.h5,CPTAC-LUAD
C3N-02003-21,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3N-02003-21.h5,CPTAC-LUAD
C3L-03985-22,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3L-03985-22.h5,CPTAC-LUAD
C3N-00433-24,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3N-00433-24.h5,CPTAC-LUAD
C3N-02757-23,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3N-02757-23.h5,CPTAC-LUAD
C3L-01924-21,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3L-01924-21.h5,CPTAC-LUAD
C3L-02348-22,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3L-02348-22.h5,CPTAC-LUAD
C3N-01030-24,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3N-01030-24.h5,CPTAC-LUAD
C3L-04031-24,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3L-04031-24.h5,CPTAC-LUAD
C3L-02513-24,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3L-02513-24.h5,CPTAC-LUAD
C3N-01842-23,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3N-01842-23.h5,CPTAC-LUAD
C3N-02764-21,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3N-02764-21.h5,CPTAC-LUAD
C3N-02764-22,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3N-02764-22.h5,CPTAC-LUAD
C3L-03268-26,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3L-03268-26.h5,CPTAC-LUAD
C3L-04784-28,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3L-04784-28.h5,CPTAC-LUAD
C3N-00167-22,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3N-00167-22.h5,CPTAC-LUAD
C3N-02715-22,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3N-02715-22.h5,CPTAC-LUAD
